1,0, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States,38
2,0, Private,234721, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0.0,0.0,40.0, United-States,53
3,0, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0.0,0.0,40.0, Cuba,28
4,0, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States,37
5,0, Private,160187, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0.0,0.0,16.0, Jamaica,49
6,1, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,45.0, United-States,52
7,1, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084.0,0.0,50.0, United-States,31
8,1, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178.0,0.0,40.0, United-States,42
9,1, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0.0,0.0,80.0, United-States,37
10,1, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, India,30
11,0, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,30.0, United-States,23
12,0, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0.0,0.0,50.0, United-States,32
13,1, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, ?,40
14,0, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0.0,0.0,45.0, Mexico,34
15,0, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,35.0, United-States,25
16,0, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, United-States,32
17,0, Private,28887, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,50.0, United-States,38
18,1, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,45.0, United-States,43
19,1, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States,40
20,0, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0.0,0.0,20.0, United-States,54
21,0, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0.0,0.0,40.0, United-States,35
22,0, Private,117037, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2042.0,40.0, United-States,43
23,0, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,40.0, United-States,59
24,1, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,56
25,0, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States,19
26,1, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0.0,0.0,60.0, South,54
27,0, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,80.0, United-States,39
28,0, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,49
29,0, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,52.0, United-States,23
30,0, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male,0.0,0.0,44.0, United-States,20
31,0, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0.0,1408.0,40.0, United-States,45
32,0, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States,30
33,0, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0.0,0.0,15.0, United-States,22
34,0, Private,242406, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0,0.0,40.0, Puerto-Rico,48
35,0, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,0.0,40.0, United-States,21
36,0, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,25.0, United-States,19
